image_name,category,image_path
adult-1.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-1.jpg
adult-10.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-10.jpg
adult-100.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-100.jpg
adult-101.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-101.jpg
adult-102.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-102.jpg
adult-103.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-103.jpg
adult-104.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-104.jpg
adult-105.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-105.jpg
adult-106.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-106.jpg
adult-107.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-107.jpg
adult-108.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-108.jpg
adult-109.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-109.jpg
adult-11.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-11.jpg
adult-110.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-110.jpg
adult-111.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-111.jpg
adult-112.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-112.jpg
adult-113.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-113.jpg
adult-114.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-114.jpg
adult-115.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-115.jpg
adult-116.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-116.jpg
adult-117.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-117.jpg
adult-118.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-118.jpg
adult-119.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-119.jpg
adult-12.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-12.jpg
adult-120.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-120.jpg
adult-121.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-121.jpg
adult-122.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-122.jpg
adult-123.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-123.jpg
adult-124.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-124.jpg
adult-125.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-125.jpg
adult-126.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-126.jpg
adult-127.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-127.jpg
adult-128.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-128.jpg
adult-129.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-129.jpg
adult-13.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-13.jpg
adult-130.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-130.jpg
adult-131.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-131.jpg
adult-132.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-132.jpg
adult-133.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-133.jpg
adult-134.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-134.jpg
adult-135.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-135.jpg
adult-136.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-136.jpg
adult-137.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-137.jpg
adult-138.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-138.jpg
adult-139.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-139.jpg
adult-14.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-14.jpg
adult-140.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-140.jpg
adult-141.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-141.jpg
adult-142.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-142.jpg
adult-143.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-143.jpg
adult-144.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-144.jpg
adult-15.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-15.jpg
adult-16.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-16.jpg
adult-17.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-17.jpg
adult-18.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-18.jpg
adult-19.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-19.jpg
adult-2.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-2.jpg
adult-20.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-20.jpg
adult-21.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-21.jpg
adult-22.jpg,face,/mindhive/nklab3/users/bowen/TDANN/floc/fLoc-version-1/stimuli/adult/adult-22.jpg
